"","x"
"1",-114.776744779584
"2",-12.0772507860978
"3",-11.3841036055378
"4",-10.9786384974297
"5",-10.6909564249779
"6",-10.4678128736637
"7",-10.2854913168697
"8",-10.1313406370424
"9",-9.99780924441793
"10",-9.88002620876154
"11",-9.77466569310372
"12",-9.67935551329939
"13",-9.59234413630976
"14",-9.51230142863622
"15",-9.4381934564825
"16",-9.36920058499555
"17",-9.30466206385798
"18",-9.24403744204155
"19",-9.1868790282016
"20",-9.13281180693132
"21",-9.08151851254377
"22",-9.03272834837434
"23",-8.98620833273945
"24",-8.94175657016861
"25",-8.89919695574982
"26",-8.85837496122956
"27",-8.81915424807628
"28",-8.78141392009343
"29",-8.74504627592256
"30",-8.70995495611129
"31",-8.67605340443561
"32",-8.64326358161262
"33",-8.61151488329804
"34",-8.58074322463128
"35",-8.5508902614816
"36",-8.52190272460835
"37",-8.49373184764165
"38",-8.46633287345354
"39",-8.43966462637138
"40",-8.41368913996812
"41",-8.38837133198382
"42",-8.36367871939345
"43",-8.33958116781439
"44",-8.3160506704042
"45",-8.2930611521795
"46",-8.27058829632744
"47",-8.24860938960867
"48",-8.2271031843877
"49",-8.20604977518987
"50",-8.18543048798714
"51",-8.16522778066962
"52",-8.14542515337344
"53",-8.12600706751634
"54",-8.10695887254564
"55",-8.08826673953349
"56",-8.06991760086529
"57",-8.05189909536261
"58",-8.03419951826321
"59",-8.01680777555134
"60",-7.99971334219204
"61",-7.98290622387566
"62",-7.96637692192445
"63",-7.95011640105267
"64",-7.93411605970623
"65",-7.91836770273809
"66",-7.90286351620212
"67",-7.88759604407134
"68",-7.8725581667068
"69",-7.85774308092166
"70",-7.8431442815005
"71",-7.8287555440484
"72",-7.81457090905645
"73",-7.80058466708171
"74",-7.78679134494937
"75",-7.77318569289359
"76",-7.75976267256145
"77",-7.74651744581143
"78",-7.73344536424408
"79",-7.72054195940817
"80",-7.70780293363074
"81",-7.69522415142388
"82",-7.68280163142532
"83",-7.67053153883351
"84",-7.65841017830116
"85",-7.64643398725445
"86",-7.63459952960745
"87",-7.62290348984425
"88",-7.61134266744318
"89",-7.59991397161956
"90",-7.58861441636562
"91",-7.5774411157675
"92",-7.56639127958091
"93",-7.55546220904872
"94",-7.54465129294451
"95",-7.53395600382776
"96",-7.52337389449722
"97",-7.51290259462993
"98",-7.50253980759438
"99",-7.49228330742719
"100",-7.48213093596317
"101",-7.47208060010967
"102",-7.4621302692565
"103",-7.45227797281349
"104",-7.44252179786813
"105",-7.43285988695639
"106",-7.42329043594024
"107",-7.4138116919857
"108",-7.40442195163586
"109",-7.39511955897354
"110",-7.38590290386862
"111",-7.37677042030535
"112",-7.36772058478543
"113",-7.35875191480267
"114",-7.34986296738542
"115",-7.34105233770327
"116",-7.33231865773451
"117",-7.3236605949914
"118",-7.31507685130001
"119",-7.3065661616321
"120",-7.29812729298623
"121",-7.28975904331572
"122",-7.28146024050102
"123",-7.27322974136451
"124",-7.26506643072534
"125",-7.25696922049273
"126",-7.24893704879546
"127",-7.24096887914628
"128",-7.23306369963917
"129",-7.22522052217815
"130",-7.21743838173609
"131",-7.20971633564218
"132",-7.20205346289661
"133",-7.19444886351139
"134",-7.18690165787601
"135",-7.17941098614685
"136",-7.17197600765933
"137",-7.16459590036171
"138",-7.15726986026964
"139",-7.14999710094056
"140",-7.14277685296707
"141",-7.13560836348846
"142",-7.12849089571959
"143",-7.1214237284965
"144",-7.11440615583785
"145",-7.10743748652176
"146",-7.10051704367719
"147",-7.09364416438943
"148",-7.08681819931903
"149",-7.08003851233365
"150",-7.0733044801523
"151",-7.06661549200151
"152",-7.05997094928284
"153",-7.05337026525148
"154",-7.04681286470533
"155",-7.04029818368413
"156",-7.03382566917852
"157",-7.02739477884823
"158",-7.02100498074945
"159",-7.0146557530708
"160",-7.00834658387753
"161",-7.00207697086393
"162",-6.9958464211133
"163",-6.98965445086538
"164",-6.983500585291
"165",-6.97738435827356
"166",-6.97130531219718
"167",-6.96526299774122
"168",-6.95925697368101
"169",-6.9532868066945
"170",-6.94735207117469
"171",-6.9414523490475
"172",-6.9355872295951
"173",-6.92975630928431
"174",-6.92395919159998
"175",-6.91819548688323
"176",-6.91246481217425
"177",-6.90676679105961
"178",-6.90110105352393
"179",-6.89546723580568
"180",-6.88986498025701
"181",-6.88429393520755
"182",-6.87875375483194
"183",-6.87324409902097
"184",-6.86776463325634
"185",-6.86231502848878
"186",-6.85689496101944
"187",-6.85150411238456
"188",-6.84614216924318
"189",-6.84080882326781
"190",-6.83550377103812
"191",-6.83022671393728
"192",-6.82497735805113
"193",-6.81975541406998
"194",-6.81456059719288
"195",-6.80939262703443
"196",-6.80425122753402
"197",-6.79913612686724
"198",-6.79404705735977
"199",-6.78898375540323
"200",-6.78394596137327
"201",-6.77893341954973
"202",-6.77394587803869
"203",-6.76898308869656
"204",-6.76404480705597
"205",-6.75913079225355
"206",-6.75424080695935
"207",-6.74937461730818
"208",-6.74453199283239
"209",-6.73971270639644
"210",-6.73491653413295
"211",-6.73014325538029
"212",-6.7253926526217
"213",-6.72066451142575
"214",-6.71595862038834
"215",-6.71127477107591
"216",-6.7066127579701
