"","x"
"1",-172.186309077579
"2",-7.3256109997476
"3",-6.73367084353907
"4",-6.38746886029768
"5",-6.14187729308748
"6",-5.95141467790207
"7",-5.79582235800142
"8",-5.66429374906863
"9",-5.55037828342558
"10",-5.44991521276506
"11",-5.3600636074477
"12",-5.2787971480778
"13",-5.2046196754355
"14",-5.1363949897891
"15",-5.07323990519356
"16",-5.01445428986208
"17",-4.95947373117913
"18",-4.90783657618291
"19",-4.85916040723427
"20",-4.81312488648113
"21",-4.76945900588304
"22",-4.72793145123938
"23",-4.6883432099073
"24",-4.6505218230881
"25",-4.61431686227911
"26",-4.57959632976031
"27",-4.54624376547314
"28",-4.51415590020258
"29",-4.48324073576527
"30",-4.45341596223504
"31",-4.42460764360432
"32",-4.39674911903767
"33",-4.36978007862519
"34",-4.34364578140096
"35",-4.31829639013146
"36",-4.29368640255533
"37",-4.26977416276443
"38",-4.24652143954605
"39",-4.22389306096766
"40",-4.20185659643532
"41",-4.18038207901168
"42",-4.15944176202684
"43",-4.13900990502232
"44",-4.11906258488547
"45",-4.09957752869874
"46",-4.08053396537484
"47",-4.06191249360004
"48",-4.0436949639805
"49",-4.02586437359717
"50",-4.00840477143382
"51",-3.99130117335976
"52",-3.97453948553191
"53",-3.95810643523502
"54",-3.94198950830982
"55",-3.92617689243002
"56",-3.91065742558422
"57",-3.89542054919989
"58",-3.8804562654163
"59",-3.86575509807351
"60",-3.85130805703605
"61",-3.83710660551513
"62",-3.82314263009186
"63",-3.80940841317793
"64",-3.79589660767973
"65",-3.78260021365769
"66",-3.76951255679519
"67",-3.75662726851129
"68",-3.74393826756889
"69",-3.73143974304538
"70",-3.71912613854655
"71",-3.70699213755619
"72",-3.69503264982489
"73",-3.68324279871079
"74",-3.67161790939344
"75",-3.6601534978895
"76",-3.64884526080573
"77",-3.63768906577071
"78",-3.62668094249184
"79",-3.61581707438954
"80",-3.6050937907642
"81",-3.59450755945592
"82",-3.58405497996014
"83",-3.57373277696569
"84",-3.56353779428447
"85",-3.55346698914468
"86",-3.54351742682177
"87",-3.53368627558332
"88",-3.52397080192623
"89",-3.51436836608602
"90",-3.50487641779993
"91",-3.49549249230662
"92",-3.48621420656705
"93",-3.47703925569173
"94",-3.46796540956123
"95",-3.45899050962732
"96",-3.45011246588345
"97",-3.44132925399379
"98",-3.43263891257109
"99",-3.42403954059411
"100",-3.41552929495616
"101",-3.40710638813682
"102",-3.39876908598954
"103",-3.39051570563821
"104",-3.38234461347631
"105",-3.37425422326277
"106",-3.36624299430895
"107",-3.35830942975149
"108",-3.35045207490628
"109",-3.34266951569906
"110",-3.3349603771682
"111",-3.327323322036
"112",-3.31975704934456
"113",-3.3122602931528
"114",-3.30483182129151
"115",-3.29747043417307
"116",-3.29017496365335
"117",-3.2829442719427
"118",-3.27577725056378
"119",-3.26867281935374
"120",-3.26162992550849
"121",-3.25464754266689
"122",-3.24772467003307
"123",-3.2408603315348
"124",-3.23405357501616
"125",-3.22730347146305
"126",-3.22060911425961
"127",-3.21396961847444
"128",-3.20738412017495
"129",-3.20085177576858
"130",-3.1943717613697
"131",-3.18794327219096
"132",-3.18156552195791
"133",-3.17523774234593
"134",-3.16895918243838
"135",-3.16272910820507
"136",-3.15654680200007
"137",-3.15041156207811
"138",-3.14432270212866
"139",-3.13827955082696
"140",-3.13228145140128
"141",-3.12632776121564
"142",-3.12041785136743
"143",-3.11455110629926
"144",-3.10872692342433
"145",-3.10294471276501
"146",-3.09720389660378
"147",-3.09150390914626
"148",-3.0858441961957
"149",-3.0802242148385
"150",-3.07464343314038
"151",-3.06910132985259
"152",-3.06359739412804
"153",-3.05813112524665
