"","x"
"1",0.854459
"2",0.854569
"3",0.861784
"4",0.861269
"5",0.855619
"6",0.851781
"7",0.860112
"8",0.854503
"9",0.851488
"10",0.85197
"11",0.85786
"12",0.853355
"13",0.857155
"14",0.851322
"15",0.852392
"16",0.851697
"17",0.848318
"18",0.861453
"19",0.858402
"20",0.854844
"21",0.853585
"22",0.848463
"23",0.850848
"24",0.852081
"25",0.856746
"26",0.856628
"27",0.848832
"28",0.849516
"29",0.843024
"30",0.855979
"31",0.850614
"32",0.855587
"33",0.850953
"34",0.856266
"35",0.852967
"36",0.852338
"37",0.849703
"38",0.852663
"39",0.860569
"40",0.845623
"41",0.856273
"42",0.855204
"43",0.854777
"44",0.854413
"45",0.856401
"46",0.856974
"47",0.851361
"48",0.853914
"49",0.85349
"50",0.866145
"51",0.849037
"52",0.851843
"53",0.853139
"54",0.855136
"55",0.856887
"56",0.849253
"57",0.861185
"58",0.850964
"59",0.849608
"60",0.858886
"61",0.856539
"62",0.854664
"63",0.855965
"64",0.845695
"65",0.854399
"66",0.848386
"67",0.857252
"68",0.854242
"69",0.856931
"70",0.853972
"71",0.855366
"72",0.851082
"73",0.851108
"74",0.848486
"75",0.852344
"76",0.852896
"77",0.849617
"78",0.856073
"79",0.852225
"80",0.854349
"81",0.855612
"82",0.851034
"83",0.855003
"84",0.851161
"85",0.855097
"86",0.853088
"87",0.851095
"88",0.854705
"89",0.854015
"90",0.848269
"91",0.857495
"92",0.852299
"93",0.855244
"94",0.855765
"95",0.850589
"96",0.857273
"97",0.857994
"98",0.852087
"99",0.852854
"100",0.854361
"101",0.851543
"102",0.850312
"103",0.848711
"104",0.855851
"105",0.857152
"106",0.851217
"107",0.850767
"108",0.855051
"109",0.851882
"110",0.857826
"111",0.854347
"112",0.848862
"113",0.850293
"114",0.851564
"115",0.851101
"116",0.857858
"117",0.856256
"118",0.853405
"119",0.848352
"120",0.844868
"121",0.849235
"122",0.850743
"123",0.851978
"124",0.85414
"125",0.84892
"126",0.849041
"127",0.847652
"128",0.857936
"129",0.857816
"130",0.851785
"131",0.856537
"132",0.853097
"133",0.852348
"134",0.854961
"135",0.849066
"136",0.850583
"137",0.851981
"138",0.859984
"139",0.849371
"140",0.853638
"141",0.851019
"142",0.855481
"143",0.852249
"144",0.848536
"145",0.854423
"146",0.85103
"147",0.851137
"148",0.858322
"149",0.850234
"150",0.853454
"151",0.847421
"152",0.856199
"153",0.843433
"154",0.848683
"155",0.849562
"156",0.854257
"157",0.853929
"158",0.855839
"159",0.848672
"160",0.854741
"161",0.853873
"162",0.852982
"163",0.856301
"164",0.857948
"165",0.858576
"166",0.854978
"167",0.849594
"168",0.858627
"169",0.860106
"170",0.85859
"171",0.858335
"172",0.847421
"173",0.86058
"174",0.855832
"175",0.853141
"176",0.854183
"177",0.855065
"178",0.852155
"179",0.856337
"180",0.851288
"181",0.853136
"182",0.854668
"183",0.852726
"184",0.852983
"185",0.855188
"186",0.846946
"187",0.85723
"188",0.854582
"189",0.85669
"190",0.850204
"191",0.852418
"192",0.851783
"193",0.856891
"194",0.85148
"195",0.861596
"196",0.858375
"197",0.851247
"198",0.852247
"199",0.857206
"200",0.846513
"201",0.849736
"202",0.857703
"203",0.858191
"204",0.857485
"205",0.857065
"206",0.852397
"207",0.855753
"208",0.843177
"209",0.854446
"210",0.851154
"211",0.853871
"212",0.85432
"213",0.861976
"214",0.851302
"215",0.853677
"216",0.851549
"217",0.853011
"218",0.849716
"219",0.862828
"220",0.849494
"221",0.85406
"222",0.853353
"223",0.856323
"224",0.851608
"225",0.850057
"226",0.854007
"227",0.853726
"228",0.850206
"229",0.851704
