"","x"
"1",0.844809
"2",0.853855
"3",0.852265
"4",0.850285
"5",0.844413
"6",0.851035
"7",0.853133
"8",0.849626
"9",0.849384
"10",0.855937
"11",0.852866
"12",0.851274
"13",0.851891
"14",0.853555
"15",0.84055
"16",0.844685
"17",0.845922
"18",0.854883
"19",0.851984
"20",0.8511
"21",0.847354
"22",0.855841
"23",0.852384
"24",0.84492
"25",0.853229
"26",0.847325
"27",0.850722
"28",0.841703
"29",0.847528
"30",0.853539
"31",0.851768
"32",0.853267
"33",0.853838
"34",0.852992
"35",0.854543
"36",0.84598
"37",0.850209
"38",0.850824
"39",0.850738
"40",0.852066
"41",0.845349
"42",0.850597
"43",0.861023
"44",0.851334
"45",0.850459
"46",0.850519
"47",0.851107
"48",0.84633
"49",0.847117
"50",0.852386
"51",0.854833
"52",0.850878
"53",0.844462
"54",0.843958
"55",0.849803
"56",0.849433
"57",0.849869
"58",0.847316
"59",0.849751
"60",0.838992
"61",0.85233
"62",0.854774
"63",0.846351
"64",0.849679
"65",0.84171
"66",0.854435
"67",0.847676
"68",0.853672
"69",0.847107
"70",0.849957
"71",0.850381
"72",0.844974
"73",0.847167
"74",0.84947
"75",0.848118
"76",0.842875
"77",0.85618
"78",0.843166
"79",0.857882
"80",0.853088
"81",0.85216
"82",0.84652
"83",0.847359
"84",0.850612
"85",0.844965
"86",0.852844
"87",0.84258
"88",0.850939
"89",0.856095
"90",0.84697
"91",0.84335
"92",0.852269
"93",0.840941
"94",0.845783
"95",0.846689
"96",0.855197
"97",0.856482
"98",0.845869
"99",0.845307
"100",0.856257
"101",0.846126
"102",0.854121
"103",0.84774
"104",0.840518
"105",0.842382
"106",0.849627
"107",0.851745
"108",0.85096
"109",0.847454
"110",0.854945
"111",0.848933
"112",0.850257
"113",0.849401
"114",0.843687
"115",0.846387
"116",0.847152
"117",0.851595
"118",0.847335
"119",0.844936
"120",0.849423
"121",0.857168
"122",0.849268
"123",0.854542
"124",0.848447
"125",0.847275
"126",0.846041
"127",0.848985
"128",0.842945
"129",0.846114
"130",0.856047
"131",0.847606
"132",0.854077
"133",0.85434
"134",0.85323
"135",0.843915
"136",0.848168
"137",0.845486
"138",0.850517
"139",0.85064
"140",0.853512
"141",0.85053
"142",0.852687
"143",0.843581
"144",0.848813
"145",0.843161
"146",0.847602
"147",0.852496
"148",0.849716
"149",0.849812
"150",0.849989
"151",0.848699
"152",0.849438
"153",0.855363
"154",0.847566
"155",0.851401
"156",0.846237
"157",0.85344
"158",0.852369
"159",0.850082
"160",0.84971
"161",0.851775
"162",0.854602
"163",0.856095
"164",0.850745
"165",0.842952
"166",0.854044
"167",0.840544
"168",0.85003
"169",0.84815
"170",0.852657
"171",0.845363
"172",0.851369
"173",0.849663
"174",0.85997
"175",0.84947
"176",0.848144
"177",0.850983
"178",0.847304
"179",0.852211
"180",0.851051
"181",0.846745
"182",0.845757
"183",0.847224
"184",0.842756
"185",0.85686
"186",0.850838
"187",0.857072
"188",0.850688
"189",0.854812
"190",0.851042
"191",0.839325
"192",0.851571
"193",0.853412
"194",0.842369
"195",0.851164
"196",0.85163
"197",0.847019
"198",0.846633
"199",0.845874
"200",0.849845
"201",0.850926
"202",0.844555
"203",0.854141
"204",0.855589
"205",0.850444
"206",0.853049
"207",0.853154
"208",0.845949
"209",0.856969
"210",0.847222
"211",0.845094
"212",0.846698
"213",0.842251
"214",0.844288
"215",0.846783
"216",0.849694
"217",0.852589
"218",0.848561
"219",0.843168
"220",0.850282
"221",0.848601
"222",0.842243
"223",0.854319
"224",0.842862
"225",0.848185
"226",0.851637
"227",0.848756
"228",0.844611
"229",0.852403
"230",0.847227
"231",0.855666
"232",0.841792
"233",0.852633
"234",0.852265
"235",0.847553
"236",0.853674
"237",0.853552
"238",0.853346
"239",0.85077
"240",0.850424
"241",0.849379
"242",0.847814
"243",0.850529
"244",0.851526
"245",0.850052
"246",0.850086
"247",0.849992
"248",0.850281
"249",0.853162
"250",0.845499
"251",0.851363
"252",0.849422
"253",0.849753
"254",0.853292
"255",0.84864
"256",0.854511
"257",0.846567
"258",0.861408
"259",0.849845
"260",0.845098
"261",0.848849
"262",0.849213
"263",0.845256
"264",0.846197
"265",0.845636
"266",0.846207
"267",0.850106
"268",0.849806
"269",0.841566
"270",0.837483
"271",0.850151
"272",0.850864
"273",0.852702
"274",0.846137
"275",0.856425
"276",0.849825
"277",0.848266
"278",0.859222
"279",0.851701
"280",0.848046
"281",0.84555
"282",0.857808
"283",0.854512
"284",0.847661
"285",0.838512
"286",0.85043
"287",0.846217
"288",0.844295
"289",0.853068
"290",0.850348
"291",0.855126
"292",0.837863
"293",0.848738
"294",0.845697
"295",0.848663
"296",0.846737
"297",0.848024
"298",0.849096
"299",0.857749
"300",0.844242
"301",0.849883
"302",0.841548
"303",0.84774
"304",0.857267
"305",0.846528
"306",0.849623
"307",0.85307
"308",0.848691
"309",0.850974
"310",0.845042
"311",0.851447
"312",0.845313
"313",0.850617
"314",0.843731
"315",0.850898
"316",0.846092
"317",0.844313
"318",0.85322
"319",0.855696
"320",0.854396
"321",0.849141
"322",0.84471
"323",0.850221
"324",0.853532
"325",0.857428
"326",0.849786
"327",0.850379
"328",0.853617
"329",0.849574
"330",0.850896
"331",0.848437
"332",0.851144
"333",0.850987
"334",0.84103
"335",0.84744
"336",0.849922
"337",0.844186
"338",0.843431
"339",0.845547
"340",0.847533
"341",0.855757
"342",0.857355
"343",0.8516
"344",0.847693
"345",0.84761
"346",0.848674
"347",0.851018
"348",0.8459
"349",0.848722
"350",0.845814
"351",0.850389
"352",0.847442
"353",0.847073
"354",0.8481
"355",0.855789
"356",0.850939
"357",0.85494
"358",0.850182
"359",0.860236
"360",0.850033
"361",0.84786
"362",0.851753
"363",0.852349
"364",0.852645
"365",0.843375
"366",0.843546
"367",0.848062
"368",0.84637
"369",0.844699
"370",0.850543
"371",0.843764
"372",0.847969
"373",0.855313
"374",0.846567
"375",0.851225
"376",0.8448
"377",0.854037
"378",0.854206
"379",0.850532
"380",0.855937
"381",0.8503
"382",0.844803
"383",0.853431
"384",0.855132
"385",0.852867
"386",0.853345
"387",0.84594
"388",0.850459
"389",0.844376
"390",0.851871
"391",0.846291
"392",0.849119
"393",0.846957
"394",0.855575
"395",0.84925
"396",0.840476
"397",0.843624
"398",0.846508
"399",0.847696
"400",0.856512
"401",0.850837
"402",0.846648
"403",0.854926
"404",0.854655
"405",0.849143
"406",0.852194
"407",0.848258
"408",0.851399
"409",0.842946
"410",0.854164
"411",0.856501
"412",0.847461
"413",0.844752
"414",0.84312
"415",0.850081
"416",0.853801
"417",0.853222
"418",0.846727
"419",0.849531
"420",0.84963
"421",0.845466
"422",0.850284
"423",0.844586
"424",0.850865
"425",0.839198
"426",0.847937
"427",0.845248
"428",0.856188
"429",0.857135
"430",0.850562
"431",0.851674
"432",0.847767
"433",0.846145
"434",0.849142
"435",0.852203
"436",0.845555
"437",0.843828
"438",0.856063
"439",0.843015
"440",0.852149
"441",0.851596
"442",0.850934
"443",0.843101
"444",0.849505
"445",0.848633
"446",0.852145
"447",0.846902
"448",0.851155
"449",0.852148
"450",0.852242
"451",0.847855
"452",0.842271
"453",0.850105
"454",0.851881
"455",0.846098
"456",0.851504
"457",0.842558
"458",0.858934
"459",0.853427
"460",0.846789
"461",0.850272
"462",0.848062
"463",0.852467
"464",0.844539
"465",0.855747
"466",0.849838
"467",0.85098
"468",0.84989
"469",0.841038
"470",0.848847
"471",0.853254
"472",0.850156
"473",0.851931
"474",0.848096
"475",0.845115
"476",0.850478
"477",0.850527
"478",0.846161
"479",0.842632
"480",0.844331
"481",0.855097
"482",0.852413
"483",0.848222
"484",0.850725
"485",0.847554
"486",0.851413
"487",0.852244
"488",0.844477
"489",0.848225
"490",0.84999
"491",0.850186
"492",0.858053
"493",0.854575
"494",0.843594
"495",0.848784
"496",0.845214
"497",0.849027
"498",0.852344
"499",0.846326
"500",0.850648
"501",0.848597
"502",0.843902
"503",0.854811
"504",0.854468
"505",0.842451
"506",0.851507
"507",0.848197
"508",0.847987
"509",0.850309
"510",0.846171
"511",0.847435
"512",0.845001
"513",0.850192
"514",0.850539
"515",0.840631
"516",0.848417
"517",0.852411
"518",0.857236
"519",0.850568
"520",0.849333
"521",0.856114
"522",0.852247
"523",0.84793
"524",0.851869
"525",0.844912
"526",0.854884
"527",0.846206
"528",0.850814
"529",0.855359
"530",0.852427
"531",0.84617
"532",0.843372
"533",0.853127
"534",0.843079
"535",0.851203
"536",0.841838
"537",0.851917
"538",0.849259
"539",0.843886
"540",0.852019
"541",0.8517
"542",0.847241
"543",0.846984
"544",0.851907
"545",0.846279
"546",0.846024
"547",0.855966
"548",0.848755
"549",0.856371
"550",0.851328
"551",0.846917
"552",0.84492
"553",0.839407
"554",0.847941
"555",0.850551
"556",0.853365
"557",0.852725
"558",0.849972
"559",0.850021
"560",0.851622
"561",0.848864
"562",0.848287
"563",0.842226
"564",0.848353
"565",0.850874
"566",0.84843
"567",0.847156
"568",0.855616
"569",0.852196
"570",0.848406
"571",0.84838
"572",0.84128
"573",0.850475
"574",0.847231
"575",0.848945
"576",0.850577
"577",0.854059
"578",0.847657
"579",0.84948
"580",0.852765
"581",0.854042
"582",0.843696
"583",0.852872
"584",0.847341
"585",0.843463
"586",0.851677
"587",0.850502
"588",0.855523
"589",0.847896
"590",0.850743
"591",0.856254
"592",0.846818
"593",0.855087
"594",0.846726
"595",0.840473
"596",0.852302
"597",0.847198
"598",0.844338
"599",0.850251
"600",0.851101
"601",0.848415
"602",0.84275
"603",0.851669
"604",0.853733
"605",0.846497
"606",0.848848
"607",0.84755
"608",0.841593
"609",0.845683
"610",0.846404
"611",0.856754
"612",0.846302
"613",0.857186
"614",0.854064
"615",0.841824
"616",0.84652
"617",0.8515
"618",0.849986
"619",0.84575
"620",0.846804
"621",0.84995
"622",0.847695
"623",0.851322
"624",0.8462
"625",0.846141
"626",0.845799
"627",0.84568
"628",0.854294
"629",0.848521
"630",0.85133
"631",0.849027
"632",0.845814
"633",0.84996
"634",0.855859
"635",0.85234
"636",0.852419
"637",0.84401
"638",0.845464
"639",0.848142
"640",0.850324
"641",0.85005
"642",0.853357
"643",0.848725
"644",0.851423
"645",0.858836
"646",0.847777
"647",0.848938
"648",0.856806
"649",0.854196
"650",0.846722
"651",0.846653
"652",0.851975
"653",0.850314
"654",0.854969
"655",0.845289
"656",0.852721
"657",0.848205
"658",0.844939
"659",0.849229
"660",0.85138
"661",0.848892
"662",0.855161
"663",0.850106
"664",0.846559
"665",0.852396
"666",0.845221
"667",0.847823
"668",0.849644
"669",0.849128
"670",0.8531
"671",0.854316
"672",0.850705
"673",0.84804
"674",0.849913
"675",0.84978
"676",0.845161
"677",0.849497
"678",0.848529
"679",0.847969
"680",0.851159
"681",0.851955
"682",0.846476
"683",0.848677
"684",0.857039
"685",0.853859
"686",0.853393
"687",0.850909
"688",0.844538
"689",0.850328
"690",0.854067
"691",0.851776
"692",0.846623
"693",0.846269
"694",0.847348
"695",0.850056
"696",0.849494
"697",0.847064
"698",0.853136
"699",0.848129
"700",0.848365
"701",0.855572
"702",0.850604
"703",0.855085
"704",0.847046
"705",0.848319
"706",0.846808
"707",0.850459
"708",0.850417
