"","x"
"1",-12103.8567925867
"2",-11633.4254764599
"3",-11172.6937750986
"4",-10721.6616885028
"5",-10280.3292166724
"6",-9848.69635960763
"7",-9426.76311730832
"8",-9014.52948977452
"9",-8611.99547700621
"10",-8219.16107900341
"11",-7836.02629576611
"12",-7462.5911272943
"13",-7098.855573588
"14",-6744.81963464721
"15",-6400.48331047191
"16",-6065.84660106211
"17",-5740.90950641782
"18",-5425.67202653902
"19",-5120.13416142573
"20",-4824.29591107794
"21",-4538.15727549565
"22",-4261.71825467886
"23",-3994.97884862757
"24",-3737.93905734179
"25",-3490.5988808215
"26",-3252.95831906672
"27",-3025.01737207744
"28",-2806.77603985366
"29",-2598.23432239538
"30",-2399.3922197026
"31",-2210.24973177533
"32",-2030.80685861355
"33",-1861.06360021728
"34",-1701.01995658651
"35",-1550.67592772124
"36",-1410.03151362147
"37",-1279.0867142872
"38",-1157.84152971843
"39",-1046.29595991517
"40",-944.450004877404
"41",-852.303664605141
"42",-769.856939098379
"43",-697.109828357119
"44",-634.062332381361
"45",-580.714451171103
"46",-537.066184726347
"47",-503.117533047092
"48",-478.868496133339
"49",-464.319073985087
"50",-459.469266602336
"51",-11633.4254764599
"52",-11172.6937750986
"53",-10721.6616885028
"54",-10280.3292166724
"55",-9848.69635960763
"56",-9426.76311730832
"57",-9014.52948977452
"58",-8611.99547700621
"59",-8219.16107900341
"60",-7836.02629576611
"61",-7462.5911272943
"62",-7098.855573588
"63",-6744.8196346472
"64",-6400.48331047191
"65",-6065.84660106211
"66",-5740.90950641782
"67",-5425.67202653902
"68",-5120.13416142573
"69",-4824.29591107794
"70",-4538.15727549565
"71",-4261.71825467886
"72",-3994.97884862757
"73",-3737.93905734179
"74",-3490.5988808215
"75",-3252.95831906672
"76",-3025.01737207744
"77",-2806.77603985366
"78",-2598.23432239538
"79",-2399.3922197026
"80",-2210.24973177533
"81",-2030.80685861355
"82",-1861.06360021728
"83",-1701.01995658651
"84",-1550.67592772124
"85",-1410.03151362147
"86",-1279.0867142872
"87",-1157.84152971843
"88",-1046.29595991517
"89",-944.450004877403
"90",-852.303664605141
"91",-769.856939098379
"92",-697.109828357119
"93",-634.062332381361
"94",-580.714451171103
"95",-537.066184726347
"96",-503.117533047092
"97",-478.868496133339
"98",-464.319073985087
"99",-459.469266602336
"100",-464.319073985087
"101",-11172.6937750986
"102",-10721.6616885028
"103",-10280.3292166724
"104",-9848.69635960763
"105",-9426.76311730833
"106",-9014.52948977452
"107",-8611.99547700621
"108",-8219.16107900341
"109",-7836.02629576611
"110",-7462.5911272943
"111",-7098.855573588
"112",-6744.81963464721
"113",-6400.48331047191
"114",-6065.84660106211
"115",-5740.90950641782
"116",-5425.67202653902
"117",-5120.13416142573
"118",-4824.29591107794
"119",-4538.15727549565
"120",-4261.71825467886
"121",-3994.97884862757
"122",-3737.93905734179
"123",-3490.59888082151
"124",-3252.95831906672
"125",-3025.01737207744
"126",-2806.77603985366
"127",-2598.23432239538
"128",-2399.3922197026
"129",-2210.24973177533
"130",-2030.80685861355
"131",-1861.06360021728
"132",-1701.01995658651
"133",-1550.67592772124
"134",-1410.03151362147
