"","x"
"1",-1.54405339555427
"2",-1.54219306468588
"3",-1.54089943941668
"4",-1.5397786949485
"5",-1.53876301632365
"6",-1.53782300680335
"7",-1.53694219974573
"8",-1.53611003696789
"9",-1.53531915534255
"10",-1.53456411752356
"11",-1.53384073853464
"12",-1.53314569487808
"13",-1.53247628177647
"14",-1.53183025426339
"15",-1.53120571868428
"16",-1.5306010560172
"17",-1.53001486610226
"18",-1.529445926081
"19",-1.52889315877396
"20",-1.52835560818268
"21",-1.52783242020946
"22",-1.52732282727145
"23",-1.52682613587
"24",-1.52634171643609
"25",-1.5258689949524
"26",-1.52540744597873
"27",-1.52495658679817
"28",-1.52451597246715
"29",-1.52408519160099
"30",-1.52366386276329
"31",-1.52325163135428
"32",-1.52284816691511
"33",-1.5224531607804
"34",-1.5220663240249
"35",-1.52168738565928
"36",-1.5213160910386
"37",-1.52095220045287
"38",-1.52059548787449
"39",-1.52024573984132
"40",-1.51990275445748
"41",-1.5195663404968
"42",-1.51923631659617
"43",-1.51891251052766
"44",-1.51859475854015
"45",-1.51828290476231
"46",-1.51797680066007
"47",-1.51767630454239
"48",-1.51738128111008
"49",-1.51709160104329
"50",-1.51680714062332
"51",-1.51652778138558
"52",-1.51625340980023
"53",-1.5159839169782
"54",-1.51571919839971
"55",-1.5154591536635
"56",-1.51520368625471
"57",-1.51495270332966
"58",-1.51470611551621
"59",-1.51446383672806
"60",-1.51422578399207
"61",-1.51399187728728
"62",-1.51376203939475
"63",-1.51353619575731
"64",-1.51331427434847
"65",-1.51309620554962
"66",-1.51288192203505
"67",-1.51267135866408
"68",-1.51246445237972
"69",-1.51226114211357
"70",-1.51206136869616
"71",-1.51186507477278
"72",-1.51167220472391
"73",-1.5114827045904
"74",-1.51129652200269
"75",-1.51111360611402
"76",-1.5109339075373
"77",-1.5107573782853
"78",-1.51058397171414
"79",-1.51041364246966
"80",-1.51024634643657
"81",-1.51008204069029
"82",-1.50992068345115
"83",-1.50976223404087
"84",-1.50960665284126
"85",-1.50945390125488
"86",-1.50930394166761
"87",-1.509156737413
"88",-1.50901225273836
"89",-1.50887045277229
"90",-1.50873130349388
"91",-1.50859477170318
"92",-1.50846082499307
"93",-1.50832943172238
"94",-1.50820056099013
"95",-1.50807418261103
"96",-1.50795026709186
"97",-1.50782878560904
"98",-1.50770970998703
"99",-1.50759301267765
"100",-1.50747866674031
"101",-1.50736664582303
"102",-1.50725692414418
"103",-1.50714947647503
"104",-1.50704427812297
"105",-1.50694130491535
"106",-1.50684053318405
"107",-1.50674193975051
"108",-1.50664550191149
"109",-1.50655119742526
"110",-1.50645900449834
"111",-1.50636890177276
"112",-1.50628086831377
"113",-1.50619488359799
"114",-1.50611092750205
"115",-1.50602898029154
"116",-1.50594902261047
"117",-1.505871035471
"118",-1.5057950002436
"119",-1.50572089864756
"120",-1.50564871274174
"121",-1.50557842491573
"122",-1.5055100178813
"123",-1.50544347466408
"124",-1.50537877859557
"125",-1.5053159133054
"126",-1.50525486271387
"127",-1.50519561102467
"128",-1.50513814271789
"129",-1.50508244254326
"130",-1.50502849551359
"131",-1.50497628689837
"132",-1.50492580221768
"133",-1.50487702723617
"134",-1.50482994795734
"135",-1.5047845506179
"136",-1.50474082168234
"137",-1.50469874783771
"138",-1.50465831598848
"139",-1.50461951325158
"140",-1.50458232695163
"141",-1.50454674461626
"142",-1.50451275397157
"143",-1.50448034293777
"144",-1.50444949962486
"145",-1.50442021232855
"146",-1.50439246952617
"147",-1.50436625987279
"148",-1.50434157219743
"149",-1.50431839549932
"150",-1.50429671894435
"151",-1.50427653186154
"152",-1.50425782373966
"153",-1.50424058422392
"154",-1.50422480311274
"155",-1.50421047035464
"156",-1.50419757604517
"157",-1.50418611042395
"158",-1.50417606387179
"159",-1.50416742690787
"160",-1.50416019018701
"161",-1.50415434449696
"162",-1.50414988075586
"163",-1.50414679000967
"164",-1.5041450634297
"165",-1.5041446923102
"166",-1.50414566806605
"167",-1.50414798223041
"168",-1.50415162645255
"169",-1.50415659249562
"170",-1.50416287223458
"171",-1.50417045765408
"172",-1.50417934084645
"173",-1.50418951400977
"174",-1.50420096944587
"175",-1.50421369955853
"176",-1.50422769685159
"177",-1.50424295392715
"178",-1.50425946348389
"179",-1.50427721831528
"180",-1.50429621130797
"181",-1.50431643544013
"182",-1.50433788377984
"183",-1.50436054948359
"184",-1.5043844257947
"185",-1.50440950604187
"186",-1.50443578363769
"187",-1.50446325207726
"188",-1.50449190493678
"189",-1.50452173587217
"190",-1.50455273861779
"191",-1.50458490698508
"192",-1.50461823486135
"193",-1.50465271620847
"194",-1.50468834506172
"195",-1.50472511552853
"196",-1.50476302178738
"197",-1.5048020580866
"198",-1.50484221874329
"199",-1.50488349814222
"200",-1.50492589073474
"201",-1.50496939103775
"202",-1.50501399363268
"203",-1.50505969316445
"204",-1.50510648434052
"205",-1.50515436192991
"206",-1.50520332076226
"207",-1.50525335572687
"208",-1.50530446177185
"209",-1.5053566339032
"210",-1.50540986718392
"211",-1.50546415673319
