"","x"
"1",-2.09195559677272
"2",-2.08713074292619
"3",-2.08260267245868
"4",-2.07827462861077
"5",-2.07410595909119
"6",-2.07007199834908
"7",-2.06615558385392
"8",-2.06234385419464
"9",-2.05862670590484
"10",-2.05499593679983
"11",-2.05144472394896
"12",-2.0479672837011
"13",-2.04455863893052
"14",-2.04121445334753
"15",-2.03793090979068
"16",-2.03470461848755
"17",-2.03153254639215
"18",-2.02841196174462
"19",-2.02534038987792
"20",-2.02231557749864
"21",-2.01933546346341
"22",-2.01639815460989
"23",-2.01350190557424
"24",-2.0106451017907
"25",-2.00782624505868
"26",-2.00504394120197
"27",-2.00229688944785
"28",-1.99958387323169
"29",-1.99690375219187
"30",-1.99425545516545
"31",-1.99163797403074
"32",-1.98905035827049
"33",-1.98649171015201
"34",-1.98396118043774
"35",-1.98145796455445
"36",-1.97898129916053
"37",-1.9765304590603
"38",-1.97410475442214
"39",-1.97170352826339
"40",-1.96932615417055
"41",-1.96697203422755
"42",-1.96464059712863
"43",-1.96233129645553
"44",-1.96004360910128
"45",-1.95777703382521
"46",-1.95553108992575
"47",-1.95330531601893
"48",-1.95109926891247
"49",-1.94891252256599
"50",-1.94674466712931
"51",-1.94459530805154
"52",-1.94246406525456
"53",-1.9403505723651
"54",-1.93825447600031
"55",-1.93617543510223
"56",-1.9341131203169
"57",-1.93206721341468
"58",-1.93003740674801
"59",-1.92802340274405
"60",-1.92602491342904
"61",-1.92404165998222
"62",-1.92207337231683
"63",-1.92011978868636
"64",-1.91818065531392
"65",-1.9162557260433
"66",-1.91434476201001
"67",-1.91244753133089
"68",-1.91056380881108
"69",-1.908693375667
"70",-1.90683601926448
"71",-1.90499153287076
"72",-1.90315971541966
"73",-1.90134037128896
"74",-1.89953331008921
"75",-1.89773834646326
"76",-1.89595529989583
"77",-1.89418399453253
"78",-1.8924242590077
"79",-1.89067592628055
"80",-1.88893883347916
"81",-1.8872128217518
"82",-1.88549773612519
"83",-1.88379342536929
"84",-1.88209974186827
"85",-1.88041654149722
"86",-1.87874368350445
"87",-1.87708103039889
"88",-1.87542844784244
"89",-1.87378580454694
"90",-1.87215297217556
"91",-1.87052982524834
"92",-1.86891624105164
"93",-1.86731209955139
"94",-1.86571728330988
"95",-1.86413167740586
"96",-1.86255516935793
"97",-1.86098764905094
"98",-1.85942900866524
"99",-1.85787914260877
"100",-1.85633794745172
"101",-1.85480532186368
"102",-1.85328116655321
"103",-1.85176538420963
"104",-1.85025787944702
"105",-1.84875855875028
"106",-1.84726733042309
"107",-1.84578410453787
"108",-1.84430879288743
"109",-1.84284130893843
"110",-1.84138156778639
"111",-1.83992948611232
"112",-1.8384849821409
"113",-1.83704797560001
"114",-1.83561838768168
"115",-1.8341961410044
"116",-1.83278115957661
"117",-1.83137336876146
"118",-1.82997269524276
"119",-1.82857906699198
"120",-1.82719241323632
"121",-1.82581266442791
"122",-1.82443975221387
"123",-1.82307360940741
"124",-1.82171416995978
"125",-1.82036136893312
"126",-1.81901514247421
"127",-1.81767542778888
"128",-1.8163421631174
"129",-1.81501528771043
"130",-1.81369474180582
"131",-1.81238046660604
"132",-1.81107240425634
"133",-1.80977049782347
"134",-1.8084746912751
"135",-1.80718492945977
"136",-1.80590115808752
"137",-1.80462332371094
"138",-1.8033513737069
"139",-1.80208525625868
"140",-1.80082492033865
"141",-1.79957031569147
"142",-1.79832139281769
"143",-1.79707810295786
"144",-1.795840398077
"145",-1.79460823084958
"146",-1.79338155464487
"147",-1.79216032351263
"148",-1.79094449216927
"149",-1.78973401598433
"150",-1.78852885096732
"151",-1.78732895375488
"152",-1.78613428159836
"153",-1.7849447923516
"154",-1.78376044445913
"155",-1.78258119694459
"156",-1.78140700939951
"157",-1.78023784197234
"158",-1.77907365535774
"159",-1.77791441078619
"160",-1.77676007001378
"161",-1.77561059531234
"162",-1.77446594945973
"163",-1.77332609573043
"164",-1.77219099788631
"165",-1.77106062016768
"166",-1.76993492728447
"167",-1.7688138844077
"168",-1.76769745716113
"169",-1.76658561161304
"170",-1.76547831426835
"171",-1.76437553206074
"172",-1.76327723234511
"173",-1.76218338289012
"174",-1.76109395187095
"175",-1.76000890786217
"176",-1.75892821983085
"177",-1.75785185712976
"178",-1.75677978949073
"179",-1.75571198701821
"180",-1.7546484201829
"181",-1.75358905981558
"182",-1.75253387710104
"183",-1.75148284357217
"184",-1.75043593110413
"185",-1.74939311190873
"186",-1.74835435852882
"187",-1.74731964383293
"188",-1.74628894100988
"189",-1.74526222356364
"190",-1.74423946530821
"191",-1.74322064036263
"192",-1.74220572314613
"193",-1.74119468837331
"194",-1.74018751104949
"195",-1.7391841664661
"196",-1.73818463019623
"197",-1.73718887809018
"198",-1.7361968862712
"199",-1.73520863113123
"200",-1.7342240893268
"201",-1.73324323777493
"202",-1.7322660536492
"203",-1.73129251437582
"204",-1.73032259762986
"205",-1.72935628133144
"206",-1.72839354364212
"207",-1.72743436296128
"208",-1.72647871792259
"209",-1.72552658739054
"210",-1.72457795045707
"211",-1.72363278643823
"212",-1.72269107487091
"213",-1.72175279550966
"214",-1.72081792832351
"215",-1.7198864534929
"216",-1.71895835140669
"217",-1.71803360265914
"218",-1.71711218804702
"219",-1.71619408856676
"220",-1.7152792854116
"221",-1.71436775996889
"222",-1.71345949381735
"223",-1.71255446872443
"224",-1.71165266664367
"225",-1.71075406971217
"226",-1.70985866024809
"227",-1.70896642074812
"228",-1.70807733388511
"229",-1.70719138250566
"230",-1.70630854962778
"231",-1.70542881843859
"232",-1.70455217229209
"233",-1.70367859470687
"234",-1.70280806936402
"235",-1.7019405801049
"236",-1.7010761109291
"237",-1.70021464599232
"238",-1.69935616960436
"239",-1.69850066622712
"240",-1.69764812047263
"241",-1.6967985171011
"242",-1.69595184101907
"243",-1.69510807727745
"244",-1.69426721106979
"245",-1.6934292277304
"246",-1.69259411273259
"247",-1.69176185168694
"248",-1.69093243033955
"249",-1.69010583457039
"250",-1.6892820503916
"251",-1.68846106394588
"252",-1.68764286150486
"253",-1.68682742946755
"254",-1.68601475435872
"255",-1.68520482282746
"256",-1.68439762164558
"257",-1.68359313770618
"258",-1.68279135802218
"259",-1.68199226972488
"260",-1.68119586006254
"261",-1.68040211639899
"262",-1.67961102621227
"263",-1.67882257709328
"264",-1.67803675674443
"265",-1.67725355297836
"266",-1.67647295371663
"267",-1.67569494698849
"268",-1.67491952092958
"269",-1.67414666378075
"270",-1.67337636388681
"271",-1.67260860969537
"272",-1.67184338975565
"273",-1.67108069271733
"274",-1.67032050732941
"275",-1.66956282243909
"276",-1.66880762699067
"277",-1.66805491002445
"278",-1.66730466067566
"279",-1.66655686817343
"280",-1.66581152183972
"281",-1.66506861108829
"282",-1.66432812542372
"283",-1.66359005444041
"284",-1.66285438782157
"285",-1.66212111533829
"286",-1.66139022684855
"287",-1.66066171229634
"288",-1.65993556171065
"289",-1.65921176520465
"290",-1.65849031297473
"291",-1.65777119529962
"292",-1.65705440253956
"293",-1.65633992513537
