"","x"
"1",0.145864
"2",0.0528933
"3",0.160909
"4",0.108778
"5",0.153701
"6",0.129753
"7",0.0651917
"8",0.104973
"9",0.140946
"10",0.0912987
"11",0.0838202
"12",0.146623
"13",0.0851784
"14",0.224455
"15",0.102784
"16",0.101883
"17",0.0582937
"18",0.0911924
"19",0.129052
"20",0.179524
"21",0.111452
"22",0.0547568
"23",0.203967
"24",0.115075
"25",0.14645
"26",0.109644
"27",0.084251
"28",0.203477
"29",0.10094
"30",0.13024
"31",0.0778135
"32",0.19825
"33",0.0847644
"34",0.168116
"35",0.0527921
"36",0.18766
"37",0.158252
"38",0.154855
"39",0.246858
"40",0.0816359
"41",0.103026
"42",0.119607
"43",0.340155
"44",0.169567
"45",0.183575
"46",0.0779012
"47",0.114985
"48",0.0745787
"49",0.188382
"50",0.0437825
"51",0.0658202
"52",0.0501358
"53",0.090752
"54",0.0943587
"55",0.157948
"56",0.0450841
"57",0.154848
"58",0.195608
"59",0.0968281
"60",0.0783908
"61",0.0753446
"62",0.106059
"63",0.0943344
"64",0.177461
"65",0.147407
"66",0.0882312
"67",0.127395
"68",0.0494773
"69",0.104843
"70",0.128474
"71",0.1023
"72",0.121954
"73",0.108762
"74",0.0837491
"75",0.099774
"76",0.137396
"77",0.112022
"78",0.10257
"79",0.110772
"80",0.126708
"81",0.169814
"82",0.0762898
"83",0.0419579
"84",0.108862
"85",0.0227931
"86",0.109979
"87",0.0716191
"88",0.0852869
"89",0.210774
"90",0.0717778
"91",0.13358
"92",0.209351
"93",0.0802575
"94",0.191247
"95",0.135708
"96",0.0650909
"97",0.0656126
"98",0.187585
"99",0.0440372
"100",0.14598
"101",0.0912013
"102",0.0360689
"103",0.0504735
"104",0.188198
"105",0.134135
"106",0.0952624
"107",0.117917
"108",0.187373
"109",0.133461
"110",0.0550396
"111",0.10309
"112",0.131071
"113",0.123253
"114",0.11617
"115",0.100989
"116",0.0900307
"117",0.285991
"118",0.124344
"119",0.183437
"120",0.0843137
"121",0.134275
"122",0.105302
"123",0.114766
"124",0.116889
"125",0.180616
"126",0.109631
"127",0.17063
"128",0.166098
"129",0.239563
"130",0.1076
"131",0.101065
"132",0.190164
"133",0.0640771
"134",0.0362396
"135",0.0752275
"136",0.0933477
"137",0.232564
"138",0.107411
"139",0.0996137
"140",0.127187
"141",0.0966354
"142",0.160004
"143",0.164022
"144",0.120312
"145",0.157803
"146",0.156052
"147",0.210754
"148",0.0925422
"149",0.179675
"150",0.156883
"151",0.131495
"152",0.089872
"153",0.119294
"154",0.103674
"155",0.0616947
"156",0.178739
"157",0.102079
"158",0.12982
"159",0.0868329
"160",0.19518
"161",0.129101
"162",0.113662
"163",0.166837
"164",0.0480292
"165",0.0913178
"166",0.1042
"167",0.0584789
"168",0.166589
"169",0.0944656
"170",0.0858008
"171",0.153264
"172",0.0463974
"173",0.0547544
"174",0.0907021
"175",0.110183
"176",0.0898774
"177",0.125549
"178",0.113579
"179",0.154126
"180",0.0755252
"181",0.123802
"182",0.122629
"183",0.0350808
"184",0.230445
"185",0.0629089
"186",0.132929
"187",0.154571
"188",0.128567
"189",0.094191
"190",0.0741259
"191",0.0749785
"192",0.0577628
"193",0.179566
"194",0.157481
"195",0.194463
"196",0.238626
"197",0.159084
"198",0.0734333
"199",0.197327
"200",0.104877
"201",0.18594
"202",0.288591
"203",0.136949
"204",0.290408
"205",0.137313
"206",0.0952264
"207",0.0704218
"208",0.152257
"209",0.126074
"210",0.079478
"211",0.143025
"212",0.0693925
"213",0.0546382
"214",0.119846
"215",0.169884
"216",0.112139
"217",0.0814113
"218",0.108311
"219",0.115205
"220",0.111583
"221",0.135056
"222",0.0714452
"223",0.143185
"224",0.0901446
"225",0.122074
"226",0.254585
"227",0.244355
"228",0.101753
"229",0.0526559
"230",0.120043
"231",0.171398
"232",0.104928
"233",0.0764727
"234",0.113151
"235",0.105965
"236",0.163386
"237",0.082953
"238",0.056573
"239",0.155557
"240",0.12125
"241",0.14847
"242",0.175642
"243",0.163549
"244",0.0713195
"245",0.0887853
"246",0.201268
"247",0.15636
"248",0.196975
"249",0.20063
"250",0.10549
"251",0.221767
"252",0.13783
"253",0.0656766
"254",0.126264
"255",0.0606776
"256",0.228747
"257",0.0945535
"258",0.0887308
"259",0.133023
"260",0.137353
"261",0.0980921
"262",0.0545628
"263",0.106137
"264",0.133929
"265",0.076727
"266",0.0692224
"267",0.13032
"268",0.172397
"269",0.145209
"270",0.164194
"271",0.143697
"272",0.0934303
"273",0.131118
"274",0.144714
"275",0.0689535
"276",0.124081
"277",0.196971
"278",0.210722
"279",0.178174
"280",0.16737
"281",0.141653
"282",0.0718891
"283",0.090825
"284",0.0935983
"285",0.0574288
"286",0.188085
"287",0.0715566
