"","x"
"1",0.848084
"2",0.853151
"3",0.834267
"4",0.854358
"5",0.857931
"6",0.874448
"7",0.854668
"8",0.842595
"9",0.85254
"10",0.837559
"11",0.879206
"12",0.85679
"13",0.841315
"14",0.882597
"15",0.866279
"16",0.833943
"17",0.856164
"18",0.857069
"19",0.86382
"20",0.864092
"21",0.861848
"22",0.852022
"23",0.868679
"24",0.811384
"25",0.795378
"26",0.830077
"27",0.825214
"28",0.861814
"29",0.849422
"30",0.848113
"31",0.850325
"32",0.844453
"33",0.826068
"34",0.83848
"35",0.858602
"36",0.831272
"37",0.847501
"38",0.858516
"39",0.906227
"40",0.840418
"41",0.828839
"42",0.854557
"43",0.887314
"44",0.865537
"45",0.83423
"46",0.832189
"47",0.859291
"48",0.868173
"49",0.823231
"50",0.838065
"51",0.86597
"52",0.829592
"53",0.876716
"54",0.874458
"55",0.833643
"56",0.827174
"57",0.869552
"58",0.854358
"59",0.889888
"60",0.851653
"61",0.870641
"62",0.874785
"63",0.847647
"64",0.83428
"65",0.827943
"66",0.860228
"67",0.815587
"68",0.80807
"69",0.847179
"70",0.870565
"71",0.838362
"72",0.886848
"73",0.839902
"74",0.818125
"75",0.836392
"76",0.891923
"77",0.875501
"78",0.836633
"79",0.828747
"80",0.858621
"81",0.870428
"82",0.793072
"83",0.837202
"84",0.825503
"85",0.833891
"86",0.837823
"87",0.820394
"88",0.853483
"89",0.864376
"90",0.858472
"91",0.881753
"92",0.871232
"93",0.821994
"94",0.814774
"95",0.837233
"96",0.822942
"97",0.860814
"98",0.796821
"99",0.847782
"100",0.831153
"101",0.883931
"102",0.803844
"103",0.860651
"104",0.873408
"105",0.827094
"106",0.844633
"107",0.892907
"108",0.8581
"109",0.859472
"110",0.854417
"111",0.784273
"112",0.82387
"113",0.836414
"114",0.84545
"115",0.828355
"116",0.853759
"117",0.858263
"118",0.863396
"119",0.823746
"120",0.8635
"121",0.803076
"122",0.894582
"123",0.871949
"124",0.83748
"125",0.84114
"126",0.784101
"127",0.846324
"128",0.851224
"129",0.872742
"130",0.852727
"131",0.827048
"132",0.861164
"133",0.864951
"134",0.853529
"135",0.877194
"136",0.872304
"137",0.785443
"138",0.855957
"139",0.808881
"140",0.735725
"141",0.841432
"142",0.825979
"143",0.837636
"144",0.811054
"145",0.846646
"146",0.851046
"147",0.852537
"148",0.887935
"149",0.836874
"150",0.821069
"151",0.843893
"152",0.868885
"153",0.795806
"154",0.823817
"155",0.858055
"156",0.822338
"157",0.8491
"158",0.86077
"159",0.787209
"160",0.865056
"161",0.806331
"162",0.85833
"163",0.803659
"164",0.864297
"165",0.854198
"166",0.881002
"167",0.801161
"168",0.832285
"169",0.868341
"170",0.846953
"171",0.817021
"172",0.850221
"173",0.855837
"174",0.879626
"175",0.788638
"176",0.818482
"177",0.834267
"178",0.879328
"179",0.860034
"180",0.888148
"181",0.780343
"182",0.841357
"183",0.84273
"184",0.855708
"185",0.863485
"186",0.869429
"187",0.81735
"188",0.84279
"189",0.84562
"190",0.834294
"191",0.884226
"192",0.844976
"193",0.851794
"194",0.83473
"195",0.815128
"196",0.820569
"197",0.857269
"198",0.829808
"199",0.828823
"200",0.834128
"201",0.803947
"202",0.851414
"203",0.814384
"204",0.832077
"205",0.822788
"206",0.805591
"207",0.859484
"208",0.802807
"209",0.879631
"210",0.846915
"211",0.846694
"212",0.832619
"213",0.874595
"214",0.874301
"215",0.817987
"216",0.871367
"217",0.811677
"218",0.87968
"219",0.831969
"220",0.846381
"221",0.839501
"222",0.821403
"223",0.85759
"224",0.867546
