"","x"
"1",-3.81671256713889
"2",-3.0836596863242
"3",-2.97977943310725
"4",-2.91221430745033
"5",-2.86096949912711
"6",-2.81922847037128
"7",-2.78378110677211
"8",-2.75284078189032
"9",-2.72530354692647
"10",-2.70043620960727
"11",-2.67772528335013
"12",-2.65679620417159
"13",-2.63736678155003
"14",-2.61921876576577
"15",-2.60217964697819
"16",-2.58611054541889
"17",-2.57089788920528
"18",-2.55644753540374
"19",-2.54268051730995
"20",-2.52952990386067
"21",-2.5169384378222
"22",-2.50485673081828
"23",-2.49324186395485
"24",-2.48205628881484
"25",-2.47126695423789
"26",-2.46084460512537
"27",-2.45076321392868
"28",-2.44099951562889
"29",-2.43153262427162
"30",-2.42234371438083
"31",-2.41341575443721
"32",-2.40473328247719
"33",-2.39628221602421
"34",-2.38804969020055
"35",-2.38002391912168
"36",-2.37219407664416
"37",-2.36455019329382
"38",-2.35708306679389
"39",-2.34978418408267
"40",-2.34264565308412
"41",-2.33566014279469
"42",-2.32882083049192
"43",-2.32212135506634
"44",-2.31555577563868
"45",-2.30911853475576
"46",-2.30280442556658
"47",-2.29660856246986
"48",-2.29052635479912
"49",-2.28455348317315
"50",-2.27868587819268
"51",-2.27291970120745
"52",-2.26725132691538
"53",-2.26167732758721
"54",-2.25619445873635
"55",-2.25079964607721
"56",-2.24548997363436
"57",-2.24026267288222
"58",-2.23511511280911
"59",-2.23004479081229
"60",-2.22504932434152
"61",-2.22012644321792
"62",-2.21527398256332
"63",-2.21048987628248
"64",-2.20577215104666
"65",-2.20111892073279
"66",-2.19652838127712
"67",-2.19199880590664
"68",-2.18752854071522
"69",-2.18311600055482
"70",-2.17875966521512
"71",-2.17445807586731
"72",-2.17020983175041
"73",-2.16601358708043
"74",-2.16186804816431
"75",-2.15777197070278
"76",-2.15372415726711
"77",-2.14972345493655
"78",-2.14576875308423
"79",-2.1418589813003
"80",-2.13799310744237
"81",-2.13417013580362
"82",-2.13038910539049
"83",-2.12664908830177
"84",-2.1229491882022
"85",-2.11928853888392
"86",-2.11566630290973
"87",-2.11208167033258
"88",-2.10853385748624
"89",-2.1050221058424
"90",-2.1015456809298
"91",-2.0981038713114
"92",-2.0946959876159
"93",-2.09132136162005
"94",-2.08797934537875
"95",-2.08466931039972
"96",-2.08139064686027
"97",-2.07814276286337
"98",-2.07492508373089
"99",-2.07173705133151
"100",-2.06857812344157
"101",-2.06544777313672
"102",-2.06234548821264
"103",-2.05927077063321
"104",-2.05622313600458
"105",-2.05320211307358
"106",-2.05020724324926
"107",-2.04723808014621
"108",-2.04429418914843
"109",-2.04137514699282
"110",-2.03848054137095
"111",-2.03560997054844
"112",-2.03276304300082
"113",-2.02993937706512
"114",-2.02713860060631
"115",-2.02436035069788
"116",-2.02160427331582
"117",-2.01887002304533
"118",-2.01615726279962
"119",-2.01346566355024
"120",-2.0107949040683
"121",-2.00814467067611
"122",-2.00551465700874
"123",-2.00290456378501
"124",-2.00031409858744
"125",-1.99774297565076
"126",-1.99519091565862
"127",-1.99265764554804
"128",-1.99014289832132
"129",-1.98764641286499
"130",-1.98516793377562
"131",-1.98270721119199
"132",-1.98026400063351
"133",-1.97783806284451
"134",-1.97542916364418
"135",-1.97303707378194
"136",-1.97066156879794
"137",-1.96830242888852
"138",-1.96595943877642
"139",-1.96363238758548
"140",-1.96132106871976
"141",-1.95902527974678
"142",-1.95674482228472
"143",-1.95447950189351
"144",-1.95222912796958
"145",-1.94999351364411
"146",-1.94777247568469
"147",-1.94556583440017
"148",-1.94337341354874
"149",-1.9411950402489
"150",-1.93903054489335
"151",-1.93687976106567
"152",-1.93474252545962
"153",-1.93261867780101
"154",-1.93050806077208
"155",-1.92841051993814
"156",-1.92632590367664
"157",-1.92425406310826
"158",-1.92219485203031
"159",-1.92014812685194
"160",-1.91811374653154
"161",-1.91609157251585
"162",-1.91408146868097
"163",-1.91208330127516
"164",-1.91009693886323
"165",-1.90812225227264
"166",-1.9061591145412
"167",-1.90420740086616
"168",-1.90226698855494
"169",-1.90033775697713
"170",-1.89841958751795
"171",-1.89651236353298
"172",-1.89461597030416
"173",-1.89273029499711
"174",-1.8908552266195
"175",-1.8889906559807
"176",-1.88713647565246
"177",-1.8852925799307
"178",-1.88345886479834
"179",-1.88163522788912
"180",-1.87982156845244
"181",-1.87801778731905
"182",-1.87622378686776
"183",-1.87443947099295
"184",-1.872664745073
"185",-1.87089951593946
"186",-1.86914369184715
"187",-1.86739718244488
"188",-1.86565989874708
"189",-1.86393175310604
"190",-1.86221265918491
"191",-1.86050253193138
"192",-1.85880128755201
"193",-1.85710884348723
"194",-1.85542511838695
"195",-1.85375003208673
"196",-1.85208350558465
"197",-1.85042546101863
"198",-1.84877582164438
"199",-1.84713451181384
"200",-1.8455014569542
"201",-1.84387658354736
"202",-1.84225981910992
"203",-1.84065109217366
"204",-1.83905033226642
"205",-1.83745746989352
"206",-1.83587243651954
"207",-1.83429516455057
"208",-1.83272558731687
"209",-1.8311636390559
"210",-1.82960925489578
"211",-1.8280623708391
"212",-1.82652292374712
"213",-1.82499085132434
"214",-1.82346609210337
"215",-1.82194858543018
"216",-1.82043827144968
"217",-1.81893509109161
"218",-1.81743898605674
"219",-1.8159498988034
"220",-1.81446777253427
"221",-1.81299255118348
"222",-1.81152417940398
"223",-1.81006260255524
"224",-1.8086077666911
"225",-1.80715961854799
"226",-1.80571810553337
"227",-1.80428317571437
"228",-1.80285477780675
"229",-1.80143286116402
"230",-1.80001737576686
"231",-1.79860827221268
"232",-1.79720550170546
"233",-1.79580901604581
"234",-1.79441876762115
"235",-1.7930347093962
"236",-1.79165679490358
"237",-1.79028497823468
"238",-1.78891921403061
"239",-1.78755945747347
"240",-1.78620566427763
"241",-1.78485779068138
"242",-1.78351579343857
"243",-1.78217962981049
"244",-1.78084925755798
"245",-1.77952463493353
"246",-1.77820572067371
"247",-1.77689247399165
"248",-1.77558485456964
"249",-1.774282822552
"250",-1.77298633853794
"251",-1.77169536357467
"252",-1.77040985915058
"253",-1.76912978718856
"254",-1.76785511003948
"255",-1.76658579047575
"256",-1.76532179168505
"257",-1.7640630772641
"258",-1.76280961121264
"259",-1.76156135792745
"260",-1.76031828219656
"261",-1.75908034919344
"262",-1.75784752447144
"263",-1.75661977395824
"264",-1.75539706395041
"265",-1.75417936110815
"266",-1.75296663244998
"267",-1.75175884534768
"268",-1.75055596752122
"269",-1.7493579670338
"270",-1.74816481228703
"271",-1.7469764720161
"272",-1.74579291528517
"273",-1.74461411148269
"274",-1.74344003031692
"275",-1.74227064181146
"276",-1.74110591630092
"277",-1.7399458244266
"278",-1.73879033713227
"279",-1.73763942566006
"280",-1.73649306154637
"281",-1.73535121661786
"282",-1.73421386298753
"283",-1.73308097305088
"284",-1.73195251948204
"285",-1.73082847523012
"286",-1.72970881351548
"287",-1.72859350782616
"288",-1.72748253191429
"289",-1.72637585979263
"290",-1.72527346573115
"291",-1.72417532425362
"292",-1.72308141013431
"293",-1.72199169839472
"294",-1.72090616430041
"295",-1.71982478335778
"296",-1.71874753131099
"297",-1.71767438413893
"298",-1.71660531805218
"299",-1.71554030949008
"300",-1.71447933511779
"301",-1.71342237182348
"302",-1.71236939671543
"303",-1.71132038711934
"304",-1.71027532057558
"305",-1.70923417483648
"306",-1.7081969278637
"307",-1.70716355782564
"308",-1.7061340430949
"309",-1.70510836224569
"310",-1.70408649405144
"311",-1.70306841748229
"312",-1.70205411170272
"313",-1.70104355606918
"314",-1.70003673012775
"315",-1.69903361361187
"316",-1.69803418644002
"317",-1.69703842871359
"318",-1.69604632071461
"319",-1.69505784290362
"320",-1.69407297591756
"321",-1.69309170056766
"322",-1.69211399783736
"323",-1.69113984888034
"324",-1.69016923501845
"325",-1.68920213773978
"326",-1.68823853869673
"327",-1.68727841970405
"328",-1.68632176273701
"329",-1.68536854992949
"330",-1.68441876357219
"331",-1.68347238611084
"332",-1.68252940014436
"333",-1.68158978842318
"334",-1.68065353384747
"335",-1.67972061946547
"336",-1.67879102847177
"337",-1.67786474420571
"338",-1.67694175014974
"339",-1.67602202992779
"340",-1.67510556730369
"341",-1.67419234617965
"342",-1.67328235059469
"343",-1.67237556472313
"344",-1.6714719728731
"345",-1.67057155948505
"346",-1.66967430913033
"347",-1.66878020650974
"348",-1.6678892364521
"349",-1.66700138391289
"350",-1.66611663397286
"351",-1.66523497183667
"352",-1.66435638283157
"353",-1.66348085240605
"354",-1.66260836612859
"355",-1.66173890968635
"356",-1.66087246888389
"357",-1.66000902964195
"358",-1.6591485779962
"359",-1.65829110009607
"360",-1.65743658220347
"361",-1.65658501069168
"362",-1.65573637204418
"363",-1.65489065285346
"364",-1.6540478398199
"365",-1.65320791975068
"366",-1.65237087955865
"367",-1.65153670626121
"368",-1.65070538697932
"369",-1.64987690893634
"370",-1.64905125945705
"371",-1.6482284259666
"372",-1.64740839598945
"373",-1.64659115714844
"374",-1.64577669716371
"375",-1.6449650038518
"376",-1.6441560651246
"377",-1.64334986898847
"378",-1.64254640354324
"379",-1.64174565698131
"380",-1.64094761758671
"381",-1.64015227373422
"382",-1.63935961388842
"383",-1.63856962660288
"384",-1.63778230051921
"385",-1.63699762436626
"386",-1.63621558695921
"387",-1.63543617719877
"388",-1.63465938407036
"389",-1.63388519664322
"390",-1.63311360406969
"391",-1.63234459558433
"392",-1.63157816050319
"393",-1.63081428822299
"394",-1.63005296822035
"395",-1.62929419005107
"396",-1.62853794334934
"397",-1.62778421782698
"398",-1.62703300327277
"399",-1.62628428955166
"400",-1.62553806660408
"401",-1.62479432444525
"402",-1.62405305316445
"403",-1.62331424292434
"404",-1.6225778839603
"405",-1.62184396657971
"406",-1.62111248116134
"407",-1.62038341815463
"408",-1.6196567680791
"409",-1.61893252152366
"410",-1.61821066914602
"411",-1.617491201672
"412",-1.61677410989499
"413",-1.61605938467527
"414",-1.61534701693943
"415",-1.61463699767979
"416",-1.61392931795376
"417",-1.61322396888331
"418",-1.61252094165436
"419",-1.61182022751623
"420",-1.61112181778105
"421",-1.61042570382321
"422",-1.60973187707884
"423",-1.60904032904521
"424",-1.60835105128023
"425",-1.60766403540193
"426",-1.60697927308789
"427",-1.60629675607474
"428",-1.60561647615766
"429",-1.60493842518986
