"","x"
"1",-1.54261762748127
"2",-1.54261762748127
"3",-1.54261762748127
"4",-1.54261762748127
"5",-1.54261762748127
"6",-1.54261762748127
"7",-1.54261762748127
"8",-1.54261762748127
"9",-1.54261762748127
"10",-1.54261762748127
"11",-1.54261762748127
"12",-1.54261762748127
"13",-1.54261762748127
"14",-1.54261762748127
"15",-1.54261762748127
"16",-1.54261762748127
"17",-1.54261762748127
"18",-1.54261762748127
"19",-1.54261762748127
"20",-1.54261762748127
"21",-1.54261762748127
"22",-1.54261762748127
"23",-1.54261762748127
"24",-1.54261762748127
"25",-1.54261762748127
"26",-1.54261762748127
"27",-1.54261762748127
"28",-1.54261762748127
"29",-1.54261762748127
"30",-1.54261762748127
"31",-1.54261762748127
"32",-1.54261762748127
"33",-1.54261762748127
"34",-1.54261762748127
"35",-1.54261762748127
"36",-1.54261762748127
"37",-1.54261762748127
"38",-1.54261762748127
"39",-1.54261762748127
"40",-1.54261762748127
"41",-1.54261762748127
"42",-1.54261762748127
"43",-1.54261762748127
"44",-1.54261762748127
"45",-1.54261762748127
"46",-1.54261762748127
"47",-1.54261762748127
"48",-1.54261762748127
"49",-1.54261762748127
"50",-1.54261762748127
"51",-1.54261762748127
"52",-1.54261762748127
"53",-1.54261762748127
"54",-1.54261762748127
"55",-1.54261762748127
"56",-1.54261762748127
"57",-1.54261762748127
"58",-1.54261762748127
"59",-1.54261762748127
"60",-1.54261762748127
"61",-1.54261762748127
"62",-1.54261762748127
"63",-1.54261762748127
"64",-1.54261762748127
"65",-1.54261762748127
"66",-1.54261762748127
"67",-1.54261762748127
"68",-1.54261762748127
"69",-1.54261762748127
"70",-1.54261762748127
"71",-1.54261762748127
"72",-1.54261762748127
"73",-1.54261762748127
"74",-1.54261762748127
"75",-1.54261762748127
"76",-1.54261762748127
"77",-1.54261762748127
"78",-1.54261762748127
"79",-1.54261762748127
"80",-1.54261762748127
"81",-1.54261762748127
"82",-1.54261762748127
"83",-1.54261762748127
"84",-1.54261762748127
"85",-1.54261762748127
"86",-1.54261762748127
"87",-1.54261762748127
"88",-1.54261762748127
"89",-1.54261762748127
"90",-1.54261762748127
"91",-1.54261762748127
"92",-1.54261762748127
"93",-1.54261762748127
"94",-1.54261762748127
"95",-1.54261762748127
"96",-1.54261762748127
"97",-1.54261762748127
"98",-1.54261762748127
"99",-1.54261762748127
"100",-1.54261762748127
"101",-1.54261762748127
"102",-1.54261762748127
"103",-1.54261762748127
"104",-1.54261762748127
"105",-1.54261762748127
"106",-1.54261762748127
"107",-1.54261762748127
"108",-1.54261762748127
"109",-1.54261762748127
"110",-1.54261762748127
"111",-1.54261762748127
"112",-1.54261762748127
"113",-1.54261762748127
"114",-1.54261762748127
"115",-1.54261762748127
"116",-1.54261762748127
"117",-1.54261762748127
"118",-1.54261762748127
"119",-1.54261762748127
"120",-1.54261762748127
