"","x"
"1",0.91238
"2",0.950086
"3",0.967659
"4",0.918725
"5",0.960793
"6",0.986405
"7",0.960516
"8",0.94159
"9",0.940991
"10",0.92824
"11",0.970641
"12",0.940746
"13",0.973704
"14",0.972845
"15",0.964885
"16",0.980187
"17",0.946231
"18",0.971819
"19",0.959834
"20",0.971119
"21",0.957158
"22",0.931716
"23",0.951066
"24",0.906344
"25",0.933881
"26",0.962253
"27",0.951346
"28",0.962787
"29",0.966472
"30",0.987843
"31",0.918083
"32",0.959916
"33",0.932154
"34",0.945096
"35",0.9104
"36",0.949753
"37",0.952914
"38",0.96911
"39",0.947163
"40",0.940436
"41",0.947861
"42",0.961967
"43",0.934541
"44",0.965074
"45",0.893563
"46",0.949199
"47",0.849643
"48",0.961642
"49",0.976514
"50",0.953062
"51",0.980242
"52",0.981953
"53",0.957399
"54",0.941136
"55",0.961286
"56",0.974589
"57",0.885739
"58",0.946715
"59",0.952786
"60",0.968379
"61",0.958597
"62",0.981295
"63",0.904793
"64",0.978506
"65",0.939913
"66",0.983247
"67",0.929389
"68",0.97119
"69",0.908812
"70",0.961712
"71",0.953153
"72",0.91256
"73",0.970854
"74",0.968475
"75",0.950071
"76",0.976496
"77",0.902169
"78",0.961368
"79",0.975016
"80",0.970846
"81",0.929766
"82",0.991988
"83",0.950514
"84",0.983857
"85",0.970706
"86",0.979229
"87",0.935202
"88",0.987659
"89",0.964944
"90",0.977296
"91",0.908665
"92",0.942355
"93",0.968696
"94",0.984555
"95",0.942922
"96",0.958335
"97",0.971069
"98",0.947064
"99",0.958956
"100",0.969775
"101",0.96396
"102",0.96971
"103",0.945679
"104",0.968864
"105",0.926442
"106",0.923536
"107",0.953455
"108",0.972372
"109",0.97265
"110",0.971593
"111",0.977726
"112",0.896752
"113",0.887691
"114",0.871189
"115",0.899187
"116",0.953452
"117",0.907339
"118",0.959496
"119",0.944914
"120",0.972349
"121",0.888835
"122",0.906401
"123",0.953118
"124",0.908421
"125",0.924102
"126",0.93147
"127",0.972761
"128",0.926296
"129",0.98049
"130",0.850648
"131",0.958068
"132",0.950114
"133",0.851191
"134",0.855943
"135",0.914475
"136",0.917639
"137",0.979739
"138",0.971691
"139",0.831165
"140",0.889649
"141",0.955631
"142",0.945659
"143",0.908545
"144",0.974254
"145",0.971995
"146",0.913045
"147",0.979667
"148",0.975419
"149",0.913211
"150",0.918587
"151",0.938044
"152",0.967476
