"","x"
"1",0.774209
"2",0.693852
"3",0.775136
"4",0.728078
"5",0.690662
"6",0.728115
"7",0.73584
"8",0.678662
"9",0.688572
"10",0.76519
"11",0.697396
"12",0.755124
"13",0.798553
"14",0.74925
"15",0.716577
"16",0.597125
"17",0.724514
"18",0.731423
"19",0.736744
"20",0.799781
"21",0.772448
"22",0.721634
"23",0.715761
"24",0.822355
"25",0.543114
"26",0.712366
"27",0.749763
"28",0.822403
"29",0.601115
"30",0.791342
"31",0.598983
"32",0.77856
"33",0.797736
"34",0.695348
"35",0.804367
"36",0.664537
"37",0.423621
"38",0.798365
"39",0.767882
"40",0.623805
"41",0.792841
"42",0.738693
"43",0.831105
"44",0.576819
"45",0.671622
"46",0.63671
"47",0.729651
"48",0.739027
"49",0.831493
"50",0.608491
"51",0.757524
"52",0.592861
"53",0.695558
"54",0.802182
"55",0.781813
"56",0.663898
"57",0.777823
"58",0.633845
"59",0.664891
"60",0.588216
"61",0.692774
"62",0.74732
"63",0.821878
"64",0.67722
"65",0.73372
"66",0.678389
"67",0.652823
"68",0.772905
"69",0.538443
"70",0.733406
"71",0.666354
"72",0.756484
"73",0.796686
"74",0.800559
"75",0.724428
"76",0.760419
"77",0.777649
"78",0.604074
"79",0.624056
"80",0.736332
"81",0.855003
"82",0.743245
"83",0.766772
"84",0.658576
"85",0.761308
"86",0.713632
"87",0.70866
"88",0.702843
"89",0.873973
"90",0.708801
"91",0.779608
"92",0.757744
"93",0.769619
"94",0.758386
"95",0.753677
"96",0.656622
"97",0.769769
"98",0.746419
"99",0.804706
"100",0.635854
"101",0.724574
"102",0.762149
"103",0.639504
"104",0.759725
"105",0.636015
"106",0.853379
"107",0.578978
"108",0.754835
"109",0.752251
"110",0.723376
"111",0.659052
"112",0.564228
"113",0.667519
"114",0.680229
"115",0.674691
"116",0.696637
"117",0.724477
"118",0.773402
"119",0.757114
"120",0.635694
"121",0.588788
"122",0.687262
"123",0.640316
"124",0.737104
"125",0.771181
"126",0.689378
"127",0.717784
"128",0.789085
"129",0.690346
"130",0.794575
"131",0.780132
"132",0.765159
"133",0.733981
"134",0.738572
"135",0.808167
"136",0.762615
"137",0.7578
"138",0.743498
"139",0.664727
"140",0.772086
"141",0.773131
"142",0.76799
"143",0.824679
"144",0.779925
"145",0.754535
"146",0.824826
"147",0.579942
"148",0.734505
"149",0.604495
"150",0.80181
"151",0.530995
"152",0.7993
"153",0.584801
"154",0.667784
"155",0.733367
"156",0.720828
"157",0.646419
"158",0.7817
"159",0.690951
"160",0.739192
"161",0.612448
"162",0.70881
"163",0.729853
"164",0.72274
"165",0.723222
"166",0.760017
"167",0.643435
"168",0.586817
"169",0.667167
"170",0.643142
"171",0.550504
"172",0.607696
"173",0.664325
"174",0.643949
"175",0.82476
"176",0.667269
"177",0.853907
"178",0.708404
"179",0.75518
"180",0.620636
"181",0.739686
"182",0.801172
"183",0.767261
"184",0.822828
"185",0.68173
"186",0.691145
"187",0.73728
"188",0.819596
"189",0.70558
"190",0.820585
"191",0.766993
"192",0.851862
"193",0.82589
"194",0.653079
"195",0.737627
"196",0.748168
"197",0.740179
"198",0.674429
"199",0.676518
"200",0.831504
"201",0.73639
"202",0.698361
"203",0.827218
"204",0.692931
"205",0.724157
"206",0.778729
"207",0.713691
"208",0.648651
"209",0.768613
"210",0.73858
"211",0.691811
"212",0.585581
"213",0.719092
"214",0.777541
"215",0.828416
"216",0.657136
"217",0.817825
"218",0.698158
"219",0.844992
"220",0.588484
"221",0.686939
"222",0.715366
"223",0.839687
"224",0.750846
"225",0.708885
"226",0.728382
"227",0.720839
"228",0.727767
"229",0.671432
"230",0.69752
"231",0.720726
"232",0.695483
"233",0.696934
"234",0.700026
"235",0.596759
"236",0.879388
"237",0.633698
"238",0.795855
"239",0.640468
"240",0.733476
"241",0.705142
"242",0.710925
"243",0.674069
"244",0.770675
"245",0.636844
"246",0.774112
"247",0.825725
"248",0.827806
"249",0.697865
"250",0.799862
"251",0.658212
"252",0.730369
"253",0.76794
"254",0.711526
"255",0.744139
"256",0.768839
"257",0.65414
"258",0.724327
"259",0.774837
"260",0.770177
"261",0.763149
"262",0.81862
"263",0.682605
"264",0.671602
"265",0.720698
"266",0.593021
"267",0.712152
"268",0.678227
"269",0.758282
"270",0.651279
"271",0.634167
"272",0.719612
"273",0.740772
"274",0.734286
"275",0.726555
"276",0.657641
"277",0.429574
"278",0.679434
"279",0.723201
"280",0.674373
"281",0.704881
"282",0.710676
"283",0.656701
"284",0.668993
"285",0.573891
"286",0.52918
"287",0.748931
"288",0.74834
"289",0.55641
"290",0.647143
"291",0.770756
"292",0.738011
"293",0.836453
"294",0.715488
"295",0.74984
"296",0.638146
"297",0.675976
"298",0.657489
"299",0.713425
"300",0.651586
"301",0.800595
"302",0.754662
"303",0.622259
"304",0.824134
"305",0.800701
"306",0.595039
"307",0.84902
"308",0.736607
"309",0.626209
"310",0.807361
"311",0.49934
"312",0.854047
"313",0.734954
"314",0.603263
"315",0.70688
"316",0.662605
"317",0.661969
"318",0.755761
"319",0.778242
"320",0.635743
"321",0.683373
"322",0.752235
"323",0.740822
"324",0.730067
"325",0.77492
"326",0.644752
"327",0.768754
"328",0.535898
"329",0.691658
"330",0.699649
"331",0.849184
"332",0.661419
"333",0.734253
"334",0.717388
"335",0.76517
"336",0.794222
"337",0.819357
"338",0.741624
"339",0.577888
"340",0.687236
"341",0.676517
"342",0.719699
"343",0.777351
"344",0.742863
"345",0.800819
"346",0.692371
"347",0.614397
"348",0.671932
"349",0.714544
"350",0.678769
"351",0.697085
"352",0.704235
"353",0.738236
"354",0.743324
"355",0.701562
"356",0.556975
"357",0.658668
"358",0.513475
"359",0.749889
"360",0.80076
"361",0.805737
"362",0.696692
"363",0.601275
"364",0.791541
"365",0.646956
"366",0.68731
"367",0.813385
"368",0.609652
"369",0.663986
"370",0.701102
"371",0.75652
"372",0.673801
"373",0.715886
"374",0.771084
"375",0.667804
"376",0.824655
"377",0.767589
"378",0.709916
"379",0.523065
"380",0.683864
"381",0.702475
"382",0.601949
"383",0.746314
"384",0.786643
"385",0.834361
"386",0.749904
"387",0.658203
"388",0.8466
"389",0.666866
"390",0.569716
"391",0.722332
"392",0.722945
"393",0.819183
"394",0.860394
"395",0.793377
"396",0.787082
"397",0.741875
"398",0.576013
"399",0.806142
"400",0.725419
"401",0.639908
"402",0.721527
"403",0.758088
"404",0.615288
"405",0.723561
"406",0.606984
"407",0.602526
"408",0.64316
"409",0.754311
"410",0.696891
"411",0.782941
"412",0.901871
"413",0.742282
"414",0.753836
"415",0.597602
"416",0.643492
"417",0.86461
"418",0.786109
"419",0.571272
"420",0.76079
"421",0.762011
"422",0.608839
"423",0.758234
"424",0.707183
"425",0.747326
"426",0.680738
"427",0.695905
"428",0.750676
"429",0.491781
"430",0.815371
"431",0.798181
"432",0.819788
"433",0.680447
"434",0.738284
"435",0.690069
"436",0.684127
"437",0.705838
"438",0.66781
"439",0.652389
"440",0.728274
"441",0.645755
"442",0.785285
"443",0.825195
"444",0.471802
"445",0.776422
"446",0.71308
"447",0.509343
"448",0.7059
"449",0.842463
"450",0.667065
"451",0.621289
"452",0.783692
"453",0.621224
"454",0.700928
"455",0.8143
"456",0.732708
