"","x"
"1",-368572.020245227
"2",-353347.138050369
"3",-339092.217332062
"4",-325807.258090305
"5",-313492.260325098
"6",-302147.224036441
"7",-291772.149224335
"8",-282367.035888778
"9",-273931.884029772
"10",-266466.693647316
"11",-259971.46474141
"12",-254446.197312054
"13",-249890.891359248
"14",-246305.546882992
"15",-243690.163883286
"16",-242044.742360131
"17",-241369.282313526
"18",-241663.783743471
"19",-242928.246649966
"20",-245162.671033011
"21",-248367.056892606
"22",-252541.404228751
"23",-257685.713041447
"24",-263799.983330692
"25",-270884.215096488
"26",-278938.408338834
"27",-287962.56305773
"28",-297956.679253176
"29",-308920.756925173
"30",-320854.796073719
"31",-333758.796698815
"32",-347632.758800462
"33",-362476.682378659
"34",-378290.567433406
"35",-395074.413964703
"36",-412828.22197255
"37",-431551.991456948
"38",-451245.722417895
"39",-471909.414855393
"40",-493543.06876944
"41",-516146.684160038
"42",-539720.261027186
"43",-564263.799370885
"44",-589777.299191133
"45",-616260.760487931
"46",-643714.18326128
"47",-672137.567511179
"48",-701530.913237628
"49",-731894.220440627
"50",-763227.489120175
"51",-354596.84120765
"52",-339043.216431473
"53",-324459.553131845
"54",-310845.851308768
"55",-298202.110962241
"56",-286528.332092264
"57",-275824.514698837
"58",-266090.65878196
"59",-257326.764341634
"60",-249532.831377857
"61",-242708.859890631
"62",-236854.849879955
"63",-231970.801345828
"64",-228056.714288253
"65",-225112.588707227
"66",-223138.424602751
"67",-222134.221974826
"68",-222099.98082345
"69",-223035.701148625
"70",-224941.38295035
"71",-227817.026228625
"72",-231662.63098345
"73",-236478.197214825
"74",-242263.72492275
"75",-249019.214107226
"76",-256744.664768252
"77",-265440.076905827
"78",-275105.450519953
"79",-285740.785610629
"80",-297346.082177856
"81",-309921.340221632
"82",-323466.559741958
"83",-337981.740738835
"84",-353466.883212262
"85",-369921.987162239
"86",-387347.052588765
"87",-405742.079491843
"88",-425107.06787147
"89",-445442.017727647
"90",-466746.929060375
"91",-489021.801869652
"92",-512266.63615548
"93",-536481.431917858
"94",-561666.189156786
"95",-587820.907872264
"96",-614945.588064293
"97",-643040.229732871
"98",-672104.832878
"99",-702139.397499679
"100",-733143.923597907
"101",-341539.552681737
"102",-325657.185324239
"103",-310744.779443292
"104",-296802.335038894
"105",-283829.852111047
"106",-271827.33065975
"107",-260794.770685003
"108",-250732.172186806
"109",-241639.535165159
"110",-233516.859620062
"111",-226364.145551515
"112",-220181.392959519
"113",-214968.601844073
