"","x"
"1",-1729.20246569511
"2",-1691.14026020797
"3",-1655.5029584122
"4",-1622.29056030781
"5",-1591.50306589479
"6",-1563.14047517315
"7",-1537.20278814288
"8",-1513.69000480399
"9",-1492.60212515648
"10",-1473.93914920034
"11",-1457.70107693557
"12",-1443.88790836218
"13",-1432.49964348017
"14",-1423.53628228953
"15",-1416.99782479026
"16",-1412.88427098237
"17",-1411.19562086586
"18",-1411.93187444072
"19",-1415.09303170696
"20",-1420.67909266457
"21",-1428.69005731356
"22",-1439.12592565392
"23",-1451.98669768566
"24",-1467.27237340878
"25",-1484.98295282327
"26",-1505.11843592913
"27",-1527.67882272637
"28",-1552.66411321499
"29",-1580.07430739498
"30",-1609.90940526634
"31",-1642.16940682908
"32",-1676.8543120832
"33",-1713.96412102869
"34",-1753.49883366556
"35",-1795.4584499938
"36",-1839.84297001342
"37",-1886.65239372442
"38",-1935.88672112678
"39",-1987.54595222053
"40",-2041.63008700565
"41",-2098.13912548214
"42",-2157.07306765001
"43",-2218.43191350926
"44",-2282.21566305988
"45",-2348.42431630187
"46",-2417.05787323525
"47",-2488.11633385999
"48",-2561.59969817612
"49",-2637.50796618361
"50",-2715.84113788249
"51",-1694.26451810117
"52",-1655.38045616073
"53",-1618.92129791166
"54",-1584.88704335397
"55",-1553.27769248765
"56",-1524.09324531271
"57",-1497.33370182914
"58",-1472.99906203695
"59",-1451.08932593613
"60",-1431.60449352669
"61",-1414.54456480862
"62",-1399.90953978193
"63",-1387.69941844662
"64",-1377.91420080268
"65",-1370.55388685011
"66",-1365.61847658892
"67",-1363.10797001911
"68",-1363.02236714067
"69",-1365.36166795361
"70",-1370.12587245792
"71",-1377.31498065361
"72",-1386.92899254067
"73",-1398.96790811911
"74",-1413.43172738892
"75",-1430.32045035011
"76",-1449.63407700268
"77",-1471.37260734661
"78",-1495.53604138193
"79",-1522.12437910862
"80",-1551.13762052668
"81",-1582.57576563613
"82",-1616.43881443694
"83",-1652.72676692913
"84",-1691.4396231127
"85",-1732.57738298764
"86",-1776.14004655396
"87",-1822.12761381165
"88",-1870.54008476072
"89",-1921.37745940116
"90",-1974.63973773298
"91",-2030.32691975618
"92",-2088.43900547075
"93",-2148.97599487669
"94",-2211.93788797401
"95",-2277.32468476271
"96",-2345.13638524278
"97",-2415.37298941422
"98",-2488.03449727705
"99",-2563.12090883124
"100",-2640.63222407681
"101",-1661.62129678639
"102",-1621.91537839264
"103",-1584.63436369028
"104",-1549.77825267928
"105",-1517.34704535966
"106",-1487.34074173142
"107",-1459.75934179455
"108",-1434.60284554906
"109",-1411.87125299494
"110",-1391.5645641322
"111",-1373.68277896083
"112",-1358.22589748084
"113",-1345.19391969223
"114",-1334.58684559499
"115",-1326.40467518912
