"","x"
"1",-4152.10770185355
"2",-3999.85887990498
"3",-3857.30967272191
"4",-3724.46008030434
"5",-3601.31010265227
"6",-3487.8597397657
"7",-3384.10899164463
"8",-3290.05785828907
"9",-3205.706339699
"10",-3131.05443587444
"11",-3066.10214681538
"12",-3010.84947252182
"13",-2965.29641299376
"14",-2929.44296823121
"15",-2903.28913823415
"16",-2886.83492300259
"17",-2880.08032253654
"18",-2883.02533683599
"19",-2895.66996590094
"20",-2918.01420973139
"21",-2950.05806832734
"22",-2991.8015416888
"23",-3043.24462981575
"24",-3104.38733270821
"25",-3175.22965036617
"26",-3255.77158278962
"27",-3346.01312997858
"28",-3445.95429193305
"29",-3555.59506865301
"30",-3674.93546013847
"31",-3803.97546638944
"32",-3942.71508740591
"33",-4091.15432318787
"34",-4249.29317373534
"35",-4417.13163904832
"36",-4594.66971912679
"37",-4781.90741397076
"38",-4978.84472358024
"39",-5185.48164795521
"40",-5401.81818709569
"41",-5627.85434100167
"42",-5863.59010967315
"43",-6109.02549311013
"44",-6364.16049131261
"45",-6628.9951042806
"46",-6903.52933201408
"47",-7187.76317451307
"48",-7481.69663177756
"49",-7785.32970380755
"50",-8098.66239060304
"51",-4012.35591147779
"52",-3856.81966371601
"53",-3710.98303071974
"54",-3574.84601248896
"55",-3448.40860902369
"56",-3331.67082032392
"57",-3224.63264638965
"58",-3127.29408722089
"59",-3039.65514281762
"60",-2961.71581317986
"61",-2893.47609830759
"62",-2834.93599820083
"63",-2786.09551285957
"64",-2746.95464228381
"65",-2717.51338647355
"66",-2697.77174542879
"67",-2687.72971914954
"68",-2687.38730763578
"69",-2696.74451088753
"70",-2715.80132890478
"71",-2744.55776168753
"72",-2783.01380923578
"73",-2831.16947154953
"74",-2889.02474862879
"75",-2956.57964047354
"76",-3033.8341470838
"77",-3120.78826845956
"78",-3217.44200460082
"79",-3323.79535550758
"80",-3439.84832117984
"81",-3565.6009016176
"82",-3701.05309682087
"83",-3846.20490678963
"84",-4001.0563315239
"85",-4165.60737102367
